"nodeID_from","nodeID_to"
"1","7"
"7","9"
"9","15"
"15","23"
"23","25"
"25","28"
"28","58"
"35","66"
"35","67"
"50","56"
"50","60"
"56","58"
"56","59"
"59","63"
"63","65"
"65","67"
"65","70"
"66","80"
"70","76"
"76","87"
"80","124"
"87","88"
"87","90"
"88","93"
"90","92"
"92","95"
"93","95"
"95","98"
"98","107"
"107","111"
"111","117"
"117","152"
"124","136"
"136","140"
"152","153"
"153","154"
"154","157"
"154","158"
"157","158"
"157","169"
"158","159"
"159","173"
"165","166"
"166","167"
"166","168"
"167","232"
"168","361"
"169","178"
"173","227"
"178","220"
"220","309"
"227","282"
"232","253"
"253","287"
"282","291"
"283","289"
"283","290"
"287","289"
"289","291"
"290","327"
"309","319"
"319","344"
"327","362"
"344","388"
"361","363"
"362","363"
"363","364"
