"nodeID_from","nodeID_to"
"7","10"
"7","39"
"9","10"
"9","26"
"10","11"
"10","17"
"11","18"
"17","19"
"18","23"
"19","23"
"23","31"
"23","34"
"26","37"
"31","49"
"34","38"
"35","37"
"35","114"
"37","39"
"37","45"
"38","51"
"49","51"
"51","52"
"51","53"
"52","113"
"53","98"
"73","172"
"73","203"
"98","106"
"100","101"
"100","117"
"101","105"
"101","109"
"101","110"
"104","106"
"104","109"
"105","116"
"106","113"
"106","119"
"110","119"
"114","127"
"116","120"
"117","120"
"118","127"
"120","121"
"120","122"
"121","122"
"122","123"
"122","124"
"123","124"
"124","125"
"124","126"
"125","164"
"126","162"
"127","149"
"133","135"
"133","136"
"134","135"
"134","136"
"135","137"
"135","140"
"136","147"
"136","148"
"137","140"
"140","143"
"140","144"
"143","144"
"144","145"
"144","146"
"145","146"
"146","150"
"146","154"
"147","169"
"148","168"
"149","267"
"150","158"
"152","154"
"152","163"
"158","163"
"162","167"
"163","170"
"163","171"
"164","167"
"167","168"
"167","169"
"170","171"
"171","173"
"171","174"
"172","175"
"173","202"
"174","199"
"175","178"
"175","182"
"176","183"
"178","218"
"180","183"
"180","204"
"182","196"
"183","189"
"189","772"
"196","203"
"199","211"
"202","211"
"203","204"
"203","205"
"205","219"
"211","212"
"211","214"
"212","214"
"214","218"
"214","219"
"265","266"
"265","270"
"266","267"
"266","268"
"268","280"
"270","332"
"280","281"
"281","282"
"281","284"
"282","283"
"283","285"
"284","285"
"285","287"
"285","293"
"287","296"
"290","293"
"290","421"
"293","295"
"293","296"
"295","419"
"331","337"
"331","382"
"332","354"
"336","337"
"336","388"
"337","343"
"340","343"
"340","367"
"343","346"
"346","366"
"349","350"
"349","377"
"350","375"
"354","369"
"354","373"
"355","369"
"355","387"
"359","361"
"359","375"
"361","377"
"366","374"
"367","374"
"370","373"
"370","387"
"374","379"
"375","397"
"377","385"
"379","397"
"382","391"
"385","404"
"387","392"
"387","394"
"388","391"
"391","392"
"391","396"
"394","396"
"404","406"
