"nodeID_from","nodeID_to"
"2","46"
"5","450"
"46","66"
"66","120"
"96","114"
"96","119"
"108","455"
"114","127"
"119","121"
"120","121"
"121","124"
"122","362"
"124","128"
"128","275"
"135","439"
"177","205"
"205","440"
"217","271"
"240","452"
"271","279"
"275","378"
"279","300"
"287","391"
"300","359"
"317","352"
"317","453"
"326","346"
"340","411"
"346","365"
"352","365"
"356","371"
"356","577"
"359","364"
"362","380"
"364","368"
"364","371"
"365","388"
"368","421"
"378","380"
"380","381"
"381","407"
"388","493"
"391","581"
"407","415"
"411","415"
"415","426"
"419","423"
"419","462"
"421","424"
"423","424"
"424","429"
"426","591"
"429","572"
"436","1048"
"439","448"
"440","448"
"444","446"
"444","462"
"446","452"
"446","463"
"448","465"
"450","454"
"453","454"
"454","455"
"463","689"
"465","904"
"492","495"
"492","497"
"493","495"
"495","503"
"503","523"
"523","656"
"556","570"
"556","698"
"570","579"
"572","579"
"577","644"
"579","582"
"581","647"
"582","690"
"591","595"
"595","598"
"595","599"
"598","601"
"598","603"
"599","607"
"601","613"
"603","625"
"607","609"
"609","613"
"609","614"
"613","621"
"613","622"
"614","622"
"621","1914"
"644","655"
"647","655"
"651","819"
"655","660"
"656","661"
"658","810"
"660","813"
"661","667"
"661","673"
"667","773"
"673","746"
"689","700"
"690","700"
"698","775"
"700","705"
"705","2011"
"746","759"
"756","759"
"756","760"
"759","769"
"760","788"
"769","776"
"773","774"
"774","778"
"774","790"
"775","794"
"776","782"
"776","783"
"778","780"
"780","785"
"782","784"
"783","784"
"784","785"
"784","791"
"785","799"
"788","793"
"790","811"
"791","804"
"792","794"
"792","800"
"794","803"
"799","804"
"800","820"
"803","812"
"804","808"
"808","886"
"810","824"
"811","822"
"812","817"
"813","824"
"816","817"
"816","843"
"817","823"
"817","827"
"819","825"
"820","826"
"822","834"
"822","836"
"823","861"
"824","835"
"825","831"
"826","831"
"827","846"
"831","837"
"831","840"
"834","845"
"835","839"
"835","847"
"836","879"
"837","858"
"839","854"
"839","865"
"840","841"
"841","1002"
"843","852"
"844","1067"
"845","881"
"846","850"
"847","859"
"847","868"
"850","852"
"850","856"
"852","859"
"854","874"
"856","857"
"856","860"
"856","864"
"857","897"
"858","866"
"860","868"
"861","866"
"864","887"
"865","876"
"866","896"
"868","870"
"868","873"
"870","874"
"870","875"
"873","883"
"874","876"
"874","880"
"875","883"
"876","878"
"878","882"
"879","891"
"880","912"
"881","882"
"881","902"
"883","887"
"886","916"
"887","888"
"888","944"
"891","894"
"891","909"
"894","921"
"896","907"
"897","907"
"902","913"
"904","1047"
"907","937"
"909","917"
"912","915"
"913","915"
"915","917"
"915","928"
"916","918"
"916","919"
"918","940"
"919","926"
"921","931"
"926","931"
"928","953"
"931","936"
"936","943"
"937","962"
"940","1476"
"943","945"
"944","954"
"945","946"
"945","952"
"946","1241"
"952","1045"
"953","954"
"954","958"
"958","978"
"962","1013"
"977","982"
"977","2216"
"978","980"
"980","993"
"980","1009"
"982","994"
"982","997"
"993","1010"
"994","2304"
"997","1600"
"1009","1278"
"1010","1023"
"1013","1033"
"1023","1038"
"1033","1038"
"1038","1053"
"1045","1149"
"1047","1064"
"1053","1057"
"1057","1058"
"1058","1069"
"1058","1078"
"1062","1063"
"1062","1067"
"1062","1104"
"1063","1111"
"1064","1076"
"1064","1081"
"1069","1200"
"1076","1564"
"1078","1158"
"1081","1140"
"1104","1117"
"1111","1124"
"1117","1124"
"1124","1127"
"1124","1135"
"1127","1503"
"1135","1752"
"1140","1190"
"1149","1167"
"1158","1162"
"1162","1183"
"1162","1188"
"1167","1238"
"1167","1240"
"1176","1512"
"1183","1333"
"1188","1290"
"1190","1204"
"1190","1251"
"1191","1841"
"1200","1246"
"1204","1232"
"1232","3564"
"1238","1240"
"1238","1255"
"1240","1243"
"1241","1259"
"1243","1473"
"1246","1309"
"1251","1581"
"1255","1258"
"1258","1259"
"1259","1262"
"1259","1281"
"1262","1268"
"1268","1293"
"1278","1293"
"1281","1447"
"1290","1325"
"1293","1298"
"1298","1301"
"1301","1350"
"1309","1316"
"1316","1318"
"1316","1328"
"1318","1356"
"1325","1330"
"1328","1398"
"1330","1352"
"1330","1354"
"1333","1340"
"1340","1341"
"1340","1356"
"1340","1366"
"1341","1365"
"1350","1354"
"1352","1361"
"1354","1357"
"1354","1375"
"1357","1361"
"1359","1833"
"1361","1364"
"1361","1365"
"1364","1375"
"1366","1421"
"1375","1387"
"1387","1402"
"1402","1420"
"1419","1499"
"1419","2309"
"1420","1425"
"1421","1454"
"1425","1437"
"1425","1441"
"1437","1465"
"1441","1753"
"1447","1971"
"1454","1469"
"1454","1483"
"1465","1494"
"1469","1486"
"1473","1490"
"1476","1490"
"1483","1554"
"1486","1494"
"1490","1506"
"1490","1517"
"1493","1500"
"1493","1686"
"1494","1498"
"1498","1508"
"1499","1500"
"1500","1504"
"1503","1513"
"1504","1769"
"1506","1539"
"1508","1559"
"1512","1513"
"1513","1518"
"1517","1543"
"1518","2556"
"1539","1574"
"1543","1562"
"1554","1573"
"1559","1573"
"1562","1574"
"1562","1593"
"1564","1585"
"1573","1590"
"1574","1587"
"1581","1585"
"1585","1592"
"1585","1596"
"1587","1675"
"1590","1647"
"1592","1729"
"1593","1853"
"1596","1632"
"1600","1982"
"1632","1636"
"1636","1642"
"1636","1650"
"1642","1651"
"1647","1847"
"1650","1664"
"1651","1652"
"1652","1654"
"1652","1658"
"1654","1657"
"1657","1664"
"1658","1665"
"1664","1667"
"1664","1673"
"1665","1673"
"1667","1725"
"1673","1679"
"1675","1677"
"1677","1683"
"1677","1708"
"1679","1713"
"1683","1686"
"1692","1731"
"1708","1771"
"1711","1713"
"1711","1741"
"1713","1714"
"1714","1735"
"1725","1734"
"1729","1734"
"1731","1746"
"1732","1746"
"1734","1735"
"1741","1834"
"1746","1752"
"1746","1759"
"1753","2104"
"1759","1862"
"1769","2260"
"1771","1844"
"1798","1859"
"1833","1843"
"1834","1837"
"1837","1842"
"1837","1860"
"1841","1843"
"1842","1899"
"1843","1849"
"1844","1861"
"1847","1858"
"1849","2122"
"1853","1861"
"1858","1859"
"1858","1876"
"1860","2037"
"1861","1875"
"1862","2212"
"1875","1920"
"1876","1927"
"1899","2080"
"1913","1916"
"1914","1916"
"1916","1919"
"1919","2043"
"1920","1939"
"1927","1935"
"1935","1942"
"1935","1961"
"1939","1943"
"1939","1945"
"1941","1949"
"1942","2253"
"1943","2025"
"1945","2029"
"1949","1955"
"1955","2038"
"1961","3095"
"1971","2128"
"1982","2555"
"2011","2637"
"2029","2230"
"2030","2054"
"2030","2209"
"2037","2039"
"2038","2039"
"2039","2041"
"2041","2083"
"2043","2058"
"2054","2058"
"2058","2064"
"2064","2110"
"2077","2108"
"2077","2630"
"2080","2087"
"2083","2087"
"2087","2089"
"2089","2092"
"2092","2096"
"2096","2099"
"2096","2101"
"2099","2228"
"2101","2187"
"2104","2249"
"2108","2207"
"2122","2130"
"2127","2130"
"2127","2137"
"2128","2363"
"2130","2139"
"2137","2138"
"2138","2140"
"2138","2144"
"2139","2873"
"2140","2209"
"2144","2801"
"2162","2265"
"2169","2184"
"2184","2221"
"2187","2306"
"2207","3388"
"2212","2926"
"2216","2276"
"2221","2251"
"2228","2423"
"2230","2250"
"2247","2884"
"2249","2262"
"2250","2258"
"2250","2267"
"2251","2289"
"2253","2262"
"2258","2364"
"2260","2275"
"2262","2288"
"2265","2276"
"2267","2450"
"2275","2279"
"2275","2293"
"2276","2283"
"2279","2285"
"2283","2984"
"2285","2500"
"2288","2660"
"2289","2369"
"2293","2367"
"2304","2307"
"2306","2419"
"2307","2310"
"2307","2315"
"2309","2324"
"2310","2329"
"2315","3226"
"2319","2324"
"2319","2947"
"2324","2329"
"2363","2371"
"2364","2371"
"2367","2396"
"2369","2495"
"2370","2378"
"2370","2403"
"2371","2385"
"2378","2389"
"2378","2400"
"2382","2395"
"2382","2398"
"2385","2616"
"2389","2417"
"2395","2398"
"2395","2404"
"2396","2401"
"2396","2415"
"2400","2445"
"2401","2411"
"2402","2448"
"2403","2411"
"2404","2427"
"2411","2417"
"2415","2465"
"2419","2695"
"2423","2427"
"2427","2433"
"2433","2638"
"2445","2453"
"2448","2524"
"2450","2453"
"2453","2456"
"2456","2615"
"2465","2700"
"2495","2498"
"2497","2498"
"2497","2517"
"2498","2506"
"2500","2917"
"2506","2527"
"2517","2523"
"2523","2524"
"2523","2532"
"2527","2644"
"2532","2541"
"2555","5016"
"2556","2908"
"2593","2692"
"2615","2621"
"2616","2621"
"2621","2642"
"2630","2765"
"2637","3089"
"2638","2653"
"2642","2656"
"2644","2655"
"2653","2733"
"2655","2665"
"2655","2671"
"2656","2683"
"2660","2696"
"2665","2723"
"2671","2828"
"2681","2683"
"2681","2687"
"2683","2726"
"2687","2696"
"2692","2715"
"2694","2709"
"2694","2715"
"2695","2724"
"2696","2717"
"2700","2856"
"2709","2714"
"2714","2839"
"2717","2981"
"2720","2757"
"2720","2781"
"2723","2724"
"2724","2738"
"2726","2966"
"2733","2751"
"2738","2786"
"2751","2789"
"2757","2766"
"2765","2766"
"2766","2767"
"2767","2771"
"2771","2785"
"2781","2785"
"2785","2799"
"2786","2803"
"2789","2794"
"2792","2794"
"2792","2796"
"2794","2802"
"2796","2803"
"2799","2829"
"2801","4332"
"2802","2822"
"2803","2827"
"2811","3029"
"2822","2836"
"2827","2840"
"2828","2842"
"2829","2983"
"2839","2842"
"2840","2844"
"2842","2845"
"2844","2847"
"2844","2865"
"2845","2847"
"2856","2938"
"2865","3182"
"2873","2890"
"2884","2890"
"2890","2897"
"2897","2982"
"2902","2993"
"2908","3825"
"2917","2935"
"2926","3109"
"2935","2937"
"2935","2938"
"2937","2949"
"2947","2951"
"2949","2951"
"2951","2957"
"2957","3185"
"2966","2973"
"2973","2974"
"2973","2975"
"2974","3018"
"2975","2979"
"2979","2987"
"2981","2987"
"2982","3168"
"2983","3737"
"2987","2989"
"2989","2991"
"2991","2994"
"2991","2997"
"2993","3059"
"2994","3001"
"2997","3017"
"3000","3001"
"3000","3002"
"3000","3022"
"3001","3022"
"3002","3102"
"3017","3025"
"3018","3063"
"3022","3025"
"3025","3032"
"3027","3048"
"3027","3066"
"3029","3048"
"3032","3046"
"3040","3144"
"3040","3556"
"3046","3063"
"3048","3052"
"3048","3074"
"3050","3051"
"3051","3052"
"3059","3166"
"3063","3069"
"3066","3140"
"3069","3303"
"3074","3123"
"3089","3099"
"3095","3099"
"3099","3106"
"3106","3377"
"3109","3119"
"3115","3119"
"3115","3128"
"3119","3140"
"3119","3145"
"3123","3155"
"3128","3157"
"3144","3192"
"3145","3407"
"3154","3155"
"3154","3254"
"3155","3158"
"3157","3188"
"3158","3253"
"3166","3181"
"3168","3221"
"3179","3181"
"3179","3230"
"3181","3182"
"3185","3243"
"3188","3203"
"3192","3234"
"3193","3203"
"3193","3413"
"3203","3208"
"3207","3208"
"3207","3829"
"3221","3238"
"3221","3245"
"3226","3258"
"3227","3497"
"3230","3248"
"3233","3234"
"3233","3235"
"3235","3244"
"3235","3260"
"3238","4560"
"3242","3256"
"3242","3265"
"3243","3258"
"3244","3261"
"3245","3314"
"3248","3259"
"3248","3269"
"3253","3276"
"3254","3287"
"3256","3276"
"3258","3278"
"3259","3333"
"3260","3266"
"3261","3265"
"3265","3268"
"3266","3275"
"3268","3275"
"3269","4036"
"3275","3282"
"3275","3283"
"3276","3289"
"3278","3577"
"3282","3305"
"3283","3394"
"3287","3297"
"3289","3468"
"3297","3310"
"3297","3317"
"3303","3687"
"3305","3320"
"3306","3325"
"3306","3352"
"3310","3491"
"3314","3325"
"3317","3461"
"3320","3324"
"3320","3336"
"3324","3346"
"3325","3338"
"3333","3361"
"3336","4252"
"3338","3373"
"3346","3385"
"3352","3408"
"3361","3375"
"3361","3514"
"3373","3408"
"3375","3501"
"3377","3390"
"3378","3386"
"3378","3387"
"3378","3394"
"3385","3460"
"3386","3399"
"3387","3473"
"3388","3390"
"3390","3406"
"3390","3410"
"3399","3543"
"3406","3799"
"3407","3415"
"3408","3437"
"3410","3439"
"3413","3415"
"3415","3427"
"3427","3487"
"3437","3594"
"3438","3879"
"3439","3480"
"3439","3486"
"3460","3569"
"3461","3712"
"3468","3477"
"3473","3477"
"3477","3492"
"3477","3499"
"3480","6121"
"3486","5291"
"3487","3505"
"3491","3505"
"3492","3759"
"3497","3996"
"3499","3602"
"3501","3514"
"3505","3528"
"3505","3535"
"3514","3551"
"3522","3597"
"3528","3591"
"3535","4817"
"3543","3562"
"3551","3679"
"3556","3563"
"3562","3578"
"3563","3585"
"3564","3574"
"3569","3579"
"3572","3574"
"3572","3851"
"3574","3582"
"3577","3639"
"3578","3593"
"3579","3585"
"3582","4010"
"3585","3596"
"3585","3604"
"3591","3595"
"3593","3630"
"3593","3640"
"3594","4358"
"3595","3634"
"3595","3652"
"3596","4051"
"3597","3607"
"3602","3907"
"3604","4001"
"3607","3622"
"3607","3626"
"3622","3656"
"3626","3729"
"3630","3681"
"3634","4395"
"3639","3964"
"3640","3683"
"3652","3706"
"3656","4015"
"3679","3713"
"3681","3723"
"3683","4211"
"3687","3742"
"3706","3771"
"3712","3771"
"3713","3744"
"3713","3750"
"3723","3942"
"3729","3748"
"3737","3754"
"3742","3770"
"3742","3788"
"3744","3888"
"3748","3752"
"3748","3761"
"3750","3805"
"3752","3754"
"3754","3775"
"3759","3861"
"3761","3790"
"3770","3930"
"3771","3807"
"3775","3790"
"3788","7228"
"3790","3798"
"3790","3800"
"3798","3961"
"3799","3982"
"3800","5282"
"3805","3884"
"3807","3973"
"3825","3875"
"3829","3831"
"3830","3831"
"3830","3980"
"3831","3855"
"3831","3873"
"3851","3875"
"3855","3871"
"3861","3881"
"3861","3883"
"3871","3875"
"3873","5031"
"3879","3975"
"3881","4100"
"3883","4352"
"3884","3922"
"3888","3922"
"3907","4339"
"3922","3966"
"3922","4026"
"3942","4213"
"3961","3977"
"3964","4041"
"3966","4511"
"3973","4105"
"3975","3977"
"3977","3982"
"3980","4145"
"3996","4017"
"4001","4237"
"4010","4087"
"4015","4017"
"4017","4029"
"4026","4148"
"4029","4057"
"4036","4072"
"4041","4412"
"4051","4062"
"4057","4062"
"4062","4076"
"4072","4082"
"4076","4086"
"4076","4104"
"4082","4087"
"4082","4094"
"4086","4123"
"4094","4855"
"4100","4109"
"4104","4167"
"4105","4109"
"4109","4114"
"4109","4115"
"4114","4247"
"4115","4182"
"4121","4218"
"4121","4471"
"4123","4125"
"4125","4130"
"4125","4131"
"4130","4139"
"4131","4295"
"4139","4260"
"4145","4585"
"4148","4546"
"4167","4640"
"4182","4205"
"4202","4205"
"4202","4241"
"4205","4219"
"4205","4220"
"4211","4277"
"4213","4325"
"4218","4439"
"4219","4274"
"4220","4292"
"4237","4265"
"4241","4264"
"4247","4264"
"4252","4265"
"4260","4265"
"4264","4281"
"4265","4269"
"4265","4273"
"4269","4300"
"4273","4453"
"4274","4298"
"4277","4285"
"4277","4288"
"4281","4487"
"4285","4308"
"4288","4334"
"4292","4298"
"4295","4384"
"4298","4315"
"4300","4328"
"4308","4310"
"4308","4337"
"4310","4343"
"4315","4367"
"4325","4328"
"4328","4344"
"4332","4354"
"4333","4351"
"4333","4561"
"4334","4356"
"4337","4382"
"4339","4366"
"4343","4356"
"4344","4365"
"4351","4363"
"4351","4373"
"4352","4368"
"4354","4359"
"4354","4375"
"4356","4365"
"4356","4376"
"4358","4404"
"4359","4363"
"4360","4364"
"4360","4366"
"4364","4368"
"4366","4382"
"4366","4388"
"4367","4368"
"4373","4375"
"4375","4385"
"4375","4400"
"4376","5086"
"4384","4612"
"4385","4783"
"4388","4414"
"4395","4460"
"4400","4595"
"4404","4442"
"4412","4697"
"4414","4812"
"4439","4458"
"4442","4443"
"4443","4463"
"4443","4500"
"4451","4458"
"4451","4496"
"4453","4506"
"4458","4470"
"4460","4505"
"4463","4479"
"4463","4500"
"4470","4494"
"4471","4513"
"4479","4501"
"4487","4505"
"4494","4501"
"4496","4510"
"4500","4528"
"4505","4516"
"4505","4519"
"4506","4521"
"4506","4527"
"4510","4513"
"4511","4513"
"4513","4525"
"4516","4600"
"4519","4819"
"4521","4616"
"4525","4541"
"4527","4596"
"4528","4639"
"4541","4765"
"4546","4566"
"4548","4552"
"4552","4566"
"4560","4562"
"4561","4562"
"4562","4609"
"4566","4587"
"4585","4827"
"4587","5448"
"4595","5326"
"4596","4634"
"4600","4625"
"4609","5203"
"4612","4630"
"4616","4630"
"4625","4633"
"4625","4650"
"4630","4656"
"4633","5029"
"4634","4668"
"4639","5093"
"4640","4647"
"4646","4647"
"4646","4860"
"4647","4658"
"4650","4970"
"4656","4818"
"4658","4703"
"4668","5095"
"4697","5489"
"4703","4719"
"4719","4722"
"4719","4742"
"4722","4967"
"4742","4875"
"4765","4809"
"4783","4804"
"4804","5864"
"4809","4815"
"4809","4821"
"4812","5009"
"4815","4821"
"4815","4826"
"4817","4823"
"4818","4843"
"4819","4823"
"4820","4823"
"4820","4978"
"4821","4879"
"4823","4827"
"4823","4849"
"4823","4861"
"4826","4829"
"4829","5278"
"4843","4847"
"4843","4860"
"4847","4937"
"4849","5270"
"4855","5193"
"4861","5615"
"4862","5245"
"4875","5039"
"4879","6606"
"4937","5018"
"4967","5500"
"4970","4984"
"4978","4984"
"4984","5007"
"5007","5109"
"5009","5040"
"5016","5924"
"5018","5317"
"5029","5130"
"5031","5613"
"5039","5303"
"5040","5087"
"5086","5340"
"5087","5173"
"5093","5159"
"5095","5157"
"5109","5505"
"5130","5139"
"5139","5385"
"5157","5312"
"5159","5189"
"5173","5230"
"5189","5212"
"5189","5220"
"5193","5518"
"5199","5213"
"5203","5222"
"5212","5369"
"5213","5675"
"5220","5804"
"5222","5228"
"5222","5240"
"5227","5228"
"5227","5269"
"5230","5360"
"5240","5265"
"5245","5393"
"5265","5273"
"5269","5273"
"5270","5364"
"5273","5281"
"5278","5284"
"5281","5472"
"5282","5292"
"5284","5288"
"5284","5297"
"5288","5485"
"5289","5292"
"5289","5461"
"5291","5292"
"5297","5307"
"5303","5333"
"5307","5534"
"5312","5318"
"5317","5318"
"5318","5322"
"5322","5344"
"5326","6754"
"5333","5347"
"5333","5348"
"5340","5349"
"5344","5349"
"5347","5374"
"5348","5367"
"5349","5356"
"5349","5363"
"5356","5371"
"5360","5371"
"5363","5569"
"5364","5406"
"5367","5411"
"5369","5543"
"5371","5373"
"5373","5549"
"5374","6096"
"5385","5387"
"5387","5418"
"5387","5424"
"5393","5425"
"5403","5406"
"5403","5967"
"5406","5421"
"5411","5453"
"5417","5425"
"5417","5789"
"5418","5497"
"5421","5720"
"5424","5486"
"5425","5434"
"5431","5444"
"5431","5521"
"5434","5887"
"5435","5443"
"5435","5444"
"5443","5449"
"5444","5446"
"5446","5449"
"5448","5479"
"5449","5455"
"5453","5553"
"5455","5481"
"5461","5488"
"5472","5601"
"5479","5515"
"5481","5486"
"5485","5515"
"5486","5491"
"5486","5499"
"5488","5500"
"5488","5522"
