"nodeID_from","nodeID_to"
"7","14"
"14","47"
"47","76"
"76","116"
"116","117"
"117","118"
"117","119"
"118","152"
"119","165"
"145","167"
"154","264"
"165","204"
"167","185"
"185","223"
"201","203"
"201","265"
"203","205"
"203","206"
"204","208"
"205","223"
"206","255"
"208","213"
"208","222"
"213","241"
"222","231"
"241","266"
"264","268"
"265","292"
"266","268"
"268","271"
"271","281"
"281","291"
"291","293"
"292","293"
"293","294"
"294","300"
"300","308"
"307","313"
"308","311"
"311","313"
"311","318"
"318","327"
"326","328"
"326","355"
"327","328"
"328","332"
"332","365"
"348","430"
"365","374"
"374","375"
"375","376"
"375","377"
"376","464"
"377","409"
"409","426"
"430","466"
"462","471"
"464","467"
"466","467"
"467","469"
"469","472"
"471","472"
"472","473"
"473","475"
"475","505"
"505","514"
"514","542"
"542","564"
"544","556"
"564","574"
"574","575"
"575","576"
"575","578"
"576","658"
"578","612"
"580","582"
"581","582"
"581","616"
"582","583"
"583","587"
"587","593"
"612","614"
"614","616"
"614","618"
"618","624"
"624","625"
"624","632"
"625","656"
"632","652"
"652","666"
"656","659"
"658","659"
"659","660"
"660","721"
"666","669"
"692","738"
"721","723"
"723","725"
"723","726"
"725","738"
"726","775"
